KBID	Title	AlternateTitle	PackageName	URL	ProxiedURL	Publisher	Edition	Author	Editor	Illustrator	PrintISSN	OnlineISSN	PrintISBN	OnlineISBN	DOI	PeerReviewed	ManagedCoverageBegin	ManagedCoverageEnd	CustomCoverageBegin	CustomCoverageEnd	CoverageStatement	Embargo	CustomEmbargo	Description	Subject	ResourceType	PackageContentType	CreateCustom	HideOnPublicationFinder	Delete	OrderedThroughEBSCO	IsCustom	UserDefinedField1	UserDefinedField2	UserDefinedField3	UserDefinedField4	UserDefinedField5	PackageType	AllowEbscoToAddNewTitles	
4539	The Analyst	Analyst|The Analyst	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5528/1876	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5528/1876	Royal Society of Chemistry					0003-2654	1364-5528				Y	1876-01-01	Present						Contains urgent communications, full papers and review articles in all areas of cutting edge analytical and bioanalytical science.	Analytical Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
5793	Annual Reports on the Progress of Chemistry Section A: Inorganic Chemistry	Annual Reports on the Progress of Chemistry Section A Inorganic Chemistry|Annual Reports on the Progress of Chemistry Section A: Inorganic Chemistry|Annual reports. A|Inorganic chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4760/1979	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4760/1979	Royal Society of Chemistry					0260-1818	1460-4760				N	1979-01-01	2013-12-31							Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
5794	Annual Reports on the Progress of Chemistry Section B: Organic Chemistry	Annual Reports on the Progress of Chemistry Section B Organic Chemistry|Annual Reports on the Progress of Chemistry Section B: Organic Chemistry|Annual reports on the progress of chemistry. Section B, Organic chemistry /|Organic chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4779/1967	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4779/1967	Royal Society of Chemistry					0069-3030	1460-4779				N	1967-01-01	2013-12-31							Organic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
5795	Annual Reports on the Progress of Chemistry Section C: Physical Chemistry	Annual Reports on the Progress of Chemistry Section C Physical Chemistry|Annual Reports on the Progress of Chemistry Section C: Physical Chemistry|Annual reports. C|Physical chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4787/1979	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4787/1979	Royal Society of Chemistry					0260-1826	1460-4787				Y	1979-01-01	2013-12-31							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
16746	Chemical Communications	Chem comm|Chem Commun (Camb)|ChemComm|Chemical Communications|Chemical communications (London)	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-548X/1996	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-548X/1996	Royal Society of Chemistry					1359-7345	1364-548X				Y	1996-01-01	Present						Features communications on important new developments in chemistry.	Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
16811	Chemical Society Reviews	Chem Soc Rev|Chemical society reviews|CSR	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1460-4744/1972	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1460-4744/1972	Royal Society of Chemistry					0306-0012	1460-4744				Y	1972-01-01	Present						Features articles on topics of current interest in the chemical sciences.	Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
21649	CrystEngComm	Cryst eng comm|Crystal engineering communications|CrystEngComm	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1466-8033/1999	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1466-8033/1999	Royal Society of Chemistry						1466-8033				Y	1999-01-01	Present						Contains full papers and communications describing innovative research covering all aspects of crystal engineering.	Crystallography|Engineering	Journal	EJournal	N	N	N	N	N						Variable	N	
22385	Journal of the Chemical Society, Dalton Transactions	Dalton transactions, inorganic chemistry|Inorganic chemistry|J.C.S. Dalton|JCS Dalton|Journal of the Chemical Society Dalton Transactions|Journal of the Chemical Society, Dalton Transactions|Journal of the Chemical Society, Dalton Transactions: Inorganic Chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5447/1972	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5447/1972	Royal Society of Chemistry					0300-9246	1364-5447				Y	1972-01-01	1999-12-31							Inorganic Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
28452	Faraday Discussions	Faraday Discuss|Faraday Discussions|Faraday discussions of the Chemical Society	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1364-5498/1991	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1364-5498/1991	Royal Society of Chemistry					1359-6640	1364-5498				Y	1991-01-01	Present							Chemistry	Journal	EJournal	N	N	N	N	N						Variable	N	
31613	Green Chemistry	GC|Green Chem|Green Chemistry	Royal Society of Chemistry Gold	https://dx.doi.org/10.1039/1463-9270/1999	http://proxy.unice.fr/login?url=https://dx.doi.org/10.1039/1463-9270/1999	Royal Society of Chemistry					1463-9262	1463-9270				Y	1999-01-01	Present						Presents articles and research covering all aspects of chemistry and related technological issues.	Environmental Sciences	Journal	EJournal	N	N	N	N	N						Variable	N	
